A-bike,
Abici,
Adler,
AIST,
ALAN,
Al Carter,
Alcyon,
Alldays & Onions,
American Bicycle,
American Bicycle Group,
American Eagle,
American Machine and Foundry,
American Star Bicycle,
Aprilia,
Argon 18,
Ariel,
Atala,
Author,
Avanti,
Baltik vairas,
Bacchetta,
Barnes Cycle,
Batavus,
Battaglin,
Berlin & Racycle,
BH,
Bianchi,
Bickerton,
Bike Friday,
Bilenky,
Biomega,
Birdy,
BMC,
Boardman Bikes,
Bohemian Bicycles,
Bontrager,
Bootie,
Bottecchia,
Bradbury,
Brasil & Movimento,
Brennabor,
Bridgestone,
British Eagle,
Brodie Bicycles,
Brompton Bicycle,
Brunswick,
BSA,
BTwin,
Burley Design,
Calcott Brothers,
Calfee Design,
Caloi,
Campion Cycle,
Cannondale,
Canyon bicycles,
Catrike,
CCM,
Centurion,
Cervelo,
Chater-Lea,
Chicago Bicycle,
Cilo,
Cinelli,
Citizen Bike,
Clark-Kent,
Claud Butler,
Clement,
Co-Motion Cycles,
Coker,
Colnago,
Columbia Bicycles,
Corima,
Cortina Cycles,
Coventry,
Cruzbike,
Cube,
Currys,
Cycle Force Group,
Cycles Devinci,
Cycleuropa Group,
Cyfac,
Dahon,
Dawes Cycles,
Defiance Cycle,
Demorest,
Den Beste,
Derby Cycle,
De Rosa,
Di Blasi Industriale,
Diamant,
Diamondback Bicycles,
Dolan Bikes,
Dorel,
Dunelt,
Dynacraft,
Eagle,
Eddy Merckx Cycles,
Electra,
Ellis Briggs,
Ellsworth,
Emilio Bozzi,
Erenpreiss Bicycles,
Excelsior,
Falcon Cycles,
Fat City Cycles,
Felt,
Flying Pigeon,
Flying Scot,
Focus Bikes,
Cycles Follis,
Folmer & Schwing,
Fondriest,
Fram,
Freddie Grubb,
Fuji Bikes,
Fyxation,
Gary Fisher,
Gazelle,
Gendron Bicycles,
Genesis,
Gepida,
Ghost,
Giant,
Gimson,
Gitane,
Gladiator Cycle,
Gnome et Rhone,
Gocycle,
Gormully & Jeffery,
Graf & Stift,
GT Bicycles,
Guerciotti,
Gustavs Ērenpreis,
Gunnar,
Halfords,
Haro Bikes,
Harry Quinn,
Hase bikes,
Heinkel,
Helkama,
Henley Bicycle,
Hercules,
Hero Cycles,
Rene Herse,
Hetchins,
Hillman,
Hoffmann,
Holdsworth,
Huffy,
Humber,
Hurtu,
Husqvarna,
Hutch BMX,
Ibis,
Ideal Bikes,
Indian,
IFA,
Independent,
Inspired Cycle,
Iride,
Iron Horse Bicycles,
Islabikes,
Italvega,
Itera,
Ivel Cycle Works,
Iver Johnson,
Iverson,
Jan Janssen,
JMC Bicycles,
Jamis Bicycles,
Kalkhoff,
Kangaroo,
Karbon Kinetics,
K2 Sports,
Kent,
Kestrel USA,
Kettler,
KHS,
Kia,
Kinesis,
Klein,
Koga Miyata,
Kogswell Cycles,
Kona,
Kronan,
Kross,
KTM,
Kuota,
Kuwahara,
Laurin & Klement,
Lapierre,
LeMond,
Alexander Leutner,
Lightning Cycle Dynamics,
Litespeed,
Look,
Louison Bobet,
Lotus,
Magna,
Malvern Star,
Marin Bikes,
Masi Bicycles,
Matchless,
Matra,
Melon Bicycles,
Mercian Cycles,
Merida Bikes,
Merlin,
Merckx,
Milwaukee,
Minerva,
Miyata,
Mochet,
Monark,
Mondia,
Mongoose,
Montague,
Moots Cycles,
Moser Cicli,
Motobecane,
Moulton,
Mountain Equipment,
Murray,
Muddy Fox,
Nagasawa,
National,
Neil Pryde,
Neobike,
NEXT,
Nishiki,
Norco,
Norman Cycles,
Novara,
NSU,
Nymanbolagen,
Olive Wheel,
Olmo,
Orbea,
Orbita,
Orient Bikes,
Overman Wheel,
Pacific Cycle,
Panasonic,
Pashley Cycles,
Pedersen bicycle,
Pegas,
Peugeot,
Phillips Cycles,
Phoenix,
Pierce Cycle,
Pinarello,
Planet X Bikes,
Pocket Bicycles,
Pogliaghi,
Polygon Bikes,
Pope,
Premier,
Prophete,
Puch,
Quadrant Cycle,
Quality Bicycle Products,
Quintana Roo,
R+E Cycles,
Radio Flyer,
Rabasa Cycles,
Raleigh,
Rambler,
Rans Designs,
Razor,
Redline bicycles,
Reid,
Rhoades Car,
Ridgeback,
Ridley,
Riese und Muller,
RIH,
Riley Cycle,
Rivendell Bicycle Works,
Roadmaster,
Roberts Cycles,
Robin Hood,
Rocky Mountain,
ROSE Bikes,
Ross,
Rover,
Rowbike,
Rudge-Whitworth,
Salcano,
Samchuly,
Santa Cruz,
Santana Cycles,
Saracen Cycles,
Maskinfabriks,
Schwinn,
SCOTT,
SE Racing,
Serotta,
Seven Cycles,
Shelby Cycle,
Shimano,
Simpel,
Simson,
Sinclair Research,
Singer,
Softride,
